facility_id,facility_name,address,city,state,county,telephone_number,hospital_type,hospital_ownership,emergency_services,birthing_friendly,hospital_overall_rating,mort_group_measure_count,count_facility_mort_measures,count_mort_better,count_mort_no_diff,count_mort_worse,safety_group_measure_count,count_facility_safety_measures,count_safety_better,count_safety_no_diff,count_safety_worse,readm_group_measure_count,count_facility_readm_measures,count_readm_better,count_readm_no_diff,count_readm_worse,ptexp_group_measure_count,count_facility_ptexp_measures,te_group_measure_count,count_facility_te_measures,zip,hcahps_clean_linear,n_surveysclean_lin,response_rateclean_lin,hcahps_clean_star,n_surveysclean_star,response_rateclean_star,hcahps_discharge_linear,n_surveysdisch_lin,response_ratedisch_lin,hcahps_discharge_star,n_surveysdisch_star,response_ratedisch_star,hcahps_discharge_yes_pct,n_surveysdisch_yes,response_ratedisch_yes,hcahps_doctor_comm_linear,n_surveysdoctor_lin,response_ratedoctor_lin,hcahps_doctor_comm_star,n_surveysdoctor_star,response_ratedoctor_star,hcahps_medicine_comm_linear,n_surveysmeds_lin,response_ratemeds_lin,hcahps_medicine_comm_star,n_surveysmeds_star,response_ratemeds_star,hcahps_nurse_comm_linear,n_surveysnurse_lin,response_ratenurse_lin,hcahps_nurse_comm_star,n_surveysnurse_star,response_ratenurse_star,hcahps_overall_linear,n_surveysoverall_lin,response_rateoverall_lin,hcahps_overall_high_pct,n_surveysoverall_pct,response_rateoverall_pct,hcahps_overall_star,n_surveysoverall_star,response_rateoverall_star,hcahps_quiet_linear,n_surveysquiet_lin,response_ratequiet_lin,hcahps_quiet_star,n_surveysquiet_star,response_ratequiet_star,hcahps_recommend_linear,n_surveysrecmnd_lin,response_raterecmnd_lin,hcahps_def_recommend_pct,n_surveysrecmnd_pct,response_raterecmnd_pct,hcahps_recommend_star,n_surveysrecmnd_star,response_raterecmnd_star,hcahps_summary_star,n_surveyssummary_star,response_ratesummary_star,nyc_county,z_overall_exp,z_recommend,z_nurse_comm,z_doctor_comm,z_med_comm,z_discharge,patient_experience_index,GEOID,provider_time_weight_sum,avg_provider_time_weight,provider_count_timefile,communication_index,access_z,fragmentation,tract_id,_CX,_CY
330169,MOUNT SINAI BETH ISRAEL,281 1ST AVE,NEW YORK,NY,NEW YORK,(212) 420-2000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,2,7,6,3,3,0,8,6,2,4,0,11,9,0,7,2,8,8,12,10,10003,85,204,11,3,204,11,75,204,11,1,204,11,75,204,11,87,204,11,2,204,11,68,204,11,1,204,11,86,204,11,2,204,11,83,204,11,64,204,11,2,204,11,71,204,11,1,204,11,80,204,11,57,204,11,2,204,11,2,204,11,1,-1.339696,-1.4459021,-1.966207,-1.378052,-1.7476127,-2.7350147,-1.7687474,36061004800,2.267857134342194,.75595236,3,86.5,.3061758,-.3061758,36061004800,-73.98372983309905,40.73385607494985
330101,NEW YORK-PRESBYTERIAN HOSPITAL,525 EAST 68TH STREET,NEW YORK,NY,NEW YORK,(212) 746-5454,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,7,7,5,2,0,8,8,3,5,0,11,11,3,6,2,8,8,12,12,10065,85,1981,16,3,1981,16,86,1981,16,3,1981,16,87,1981,16,91,1981,16,3,1981,16,76,1981,16,2,1981,16,90,1981,16,3,1981,16,88,1981,16,70,1981,16,3,1981,16,76,1981,16,2,1981,16,88,1981,16,73,1981,16,4,1981,16,3,1981,16,1,.018086707,.22167574,-.45596644,.10544831,-.097586378,.0655898,-.023792045,36061011600,4.190476194024086,.52380955,8,90.5,1.6702418,-1.6702418,36061011600,-73.95492386527835,40.76280048213975
330270,HOSPITAL FOR SPECIAL SURGERY,535 EAST 70TH STREET,NEW YORK,NY,NEW YORK,(212) 606-1000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,5,7,1,0,1,0,8,5,1,4,0,11,3,3,0,0,8,8,12,4,10021,91,895,40,4,895,40,90,895,40,4,895,40,90,895,40,93,895,40,4,895,40,79,895,40,3,895,40,93,895,40,4,895,40,92,895,40,83,895,40,4,895,40,78,895,40,2,895,40,94,895,40,87,895,40,5,895,40,4,895,40,1,1.1043129,1.4723592,.67671394,.84719849,.52117348,1.0839914,.95095825,36061012400,3.934523805975914,.39345238,10,93,1.4886478,-1.4886478,36061012400,-73.95266733906479,40.76628084163794
330119,LENOX HILL HOSPITAL,100 EAST 77TH STREET,NEW YORK,NY,NEW YORK,(212) 434-2000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,7,7,3,4,0,8,8,2,6,0,11,11,1,10,0,8,8,12,10,10075,83,392,18,2,392,18,80,392,18,2,392,18,81,392,18,91,392,18,3,392,18,77,392,18,3,392,18,89,392,18,2,392,18,86,392,18,68,392,18,3,392,18,71,392,18,1,392,18,86,392,18,70,392,18,3,392,18,2,392,18,1,-.52502638,-.19521873,-.83352655,.10544831,.1086669,-1.4620126,-.46694484,36061012800,2,1,2,90,.11613565,-.11613565,36061012800,-73.96151715140923,40.77138093205261
330199,METROPOLITAN HOSPITAL CENTER,1901 FIRST AVENUE,NEW YORK,NY,NEW YORK,(212) 423-6262,Acute Care Hospitals,Government - Local,Yes,Y,3,7,2,0,2,0,8,6,2,4,0,11,3,0,3,0,8,8,12,8,10029,86,297,7,3,297,7,78,297,7,1,297,7,79,297,7,88,297,7,2,297,7,65,297,7,1,297,7,86,297,7,2,297,7,86,297,7,66,297,7,3,297,7,77,297,7,2,297,7,85,297,7,65,297,7,3,297,7,2,297,7,1,-.52502638,-.40366596,-1.966207,-1.007177,-2.3663726,-1.9712135,-1.3732771,36061015602,1.267857134342194,.63392854,2,87,-.40330744,.40330744,36061015602,-73.94632537671606,40.78518207135276
330024,MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,NEW YORK,NY,NEW YORK,(212) 241-7981,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,7,7,3,4,0,8,8,3,5,0,11,11,0,11,0,8,8,12,11,10029,83,696,15,2,696,15,85,696,15,3,696,15,85,696,15,91,696,15,3,696,15,75,696,15,2,696,15,89,696,15,2,696,15,87,696,15,69,696,15,3,696,15,72,696,15,2,696,15,86,696,15,69,696,15,3,696,15,3,696,15,1,-.25346985,-.19521873,-.83352655,.10544831,-.30383965,-.18901061,-.27826953,36061016800,2.476190477609634,.61904764,4,90,.4539848,-.4539848,36061016800,-73.95135645792948,40.79107515463617
330240,HARLEM HOSPITAL CENTER,506 LENOX AVENUE,NEW YORK,NY,NEW YORK,(212) 939-1000,Acute Care Hospitals,Government - Local,Yes,Y,1,7,3,0,3,0,8,6,1,5,0,11,5,0,2,3,8,8,12,9,10037,87,337,6,3,337,6,76,337,6,1,337,6,76,337,6,86,337,6,2,337,6,63,337,6,1,337,6,85,337,6,1,337,6,78,337,6,52,337,6,1,337,6,75,337,6,2,337,6,75,337,6,52,337,6,1,337,6,1,337,6,1,-2.6974788,-2.4881382,-2.3437672,-1.7489271,-2.7788792,-2.4804142,-2.4229341,36061021200,1.654761910438538,.55158728,3,85.5,-.12880498,.12880498,36061021200,-73.93900105110554,40.81376103076161
330014,JAMAICA HOSPITAL MEDICAL CENTER,89TH AVENUE AND VAN WYCK EXPRESSWAY,JAMAICA,NY,QUEENS,(718) 262-6000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,1,7,6,0,6,0,8,6,1,5,0,11,6,0,4,2,8,8,12,9,11418,86,2020,21,3,2020,21,80,2020,21,2,2020,21,80,2020,21,87,2020,21,2,2020,21,72,2020,21,2,2020,21,86,2020,21,2,2020,21,83,2020,21,57,2020,21,2,2020,21,77,2020,21,2,2020,21,81,2020,21,59,2020,21,2,2020,21,2,2020,21,1,-1.339696,-1.2374549,-1.966207,-1.378052,-.92259949,-1.4620126,-1.3843371,36081014202,.2678571343421936,.26785713,1,86.5,-1.1127907,1.1127907,36081014202,-73.82034702476375,40.69866628980296
330055,NEW YORK-PRESBYTERIAN/QUEENS,56-45 MAIN STREET,FLUSHING,NY,QUEENS,(718) 670-2000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,7,6,3,3,0,8,7,4,3,0,11,10,0,8,2,8,8,12,10,11355,86,1219,15,3,1219,15,86,1219,15,3,1219,15,86,1219,15,89,1219,15,2,1219,15,73,1219,15,2,1219,15,87,1219,15,2,1219,15,85,1219,15,63,1219,15,3,1219,15,74,1219,15,2,1219,15,85,1219,15,65,1219,15,3,1219,15,2,1219,15,1,-.79658294,-.40366596,-1.5886469,-.63630188,-.71634626,.0655898,-.6793257,36081079900,.2380952388048172,.23809524,1,88,-1.1339062,1.1339062,36081079900,-73.82737579993376,40.74698865863464
330395,ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,327 BEACH 19TH STREET,FAR ROCKAWAY,NY,QUEENS,(718) 869-7000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,1,7,5,0,4,1,8,5,0,4,1,11,5,0,2,3,8,8,12,9,11691,83,523,16,2,523,16,78,523,16,1,523,16,78,523,16,85,523,16,1,523,16,66,523,16,1,523,16,81,523,16,1,523,16,76,523,16,49,523,16,1,523,16,68,523,16,1,523,16,72,523,16,47,523,16,1,523,16,1,523,16,1,-3.240592,-3.1134801,-3.8540077,-2.1198022,-2.1601193,-1.9712135,-2.7432024,36081099801,1.267857134342194,.63392854,2,83,-.40330744,.40330744,36081099801,-73.75759916670397,40.59808345814773
330028,RICHMOND UNIVERSITY MEDICAL CENTER,355 BARD AVENUE,STATEN ISLAND,NY,RICHMOND,(718) 354-5047,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,1,7,6,0,6,0,8,7,0,7,0,11,10,0,9,1,8,8,12,6,10310,80,411,12,2,411,12,80,411,12,2,411,12,80,411,12,86,411,12,2,411,12,68,411,12,1,411,12,86,411,12,2,411,12,77,411,12,43,411,12,1,411,12,67,411,12,1,411,12,73,411,12,42,411,12,1,411,12,2,411,12,1,-2.9690354,-2.9050329,-1.966207,-1.7489271,-1.7476127,-1.4620126,-2.1331379,36085006700,1,1,1,86,-.59334761,.59334761,36085006700,-74.10110316534548,40.63519224419647
330160,STATEN ISLAND UNIVERSITY HOSPITAL,475 SEAVIEW AVENUE,STATEN ISLAND,NY,RICHMOND,(418) 226-9761,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,7,7,0,7,0,8,8,2,5,1,11,11,0,9,2,8,8,12,10,10305,83,376,15,2,376,15,81,376,15,2,376,15,81,376,15,88,376,15,2,376,15,72,376,15,2,376,15,88,376,15,2,376,15,83,376,15,57,376,15,2,376,15,71,376,15,1,376,15,80,376,15,54,376,15,2,376,15,2,376,15,1,-1.339696,-1.4459021,-1.2110868,-1.007177,-.92259949,-1.2074122,-1.1889789,36085007002,1.011904746294022,.25297618,4,88,-.58490139,.58490139,36085007002,-74.07383045876161,40.58602055669272
330214,NYU LANGONE HOSPITALS,550 FIRST AVENUE,NEW YORK,NY,NEW YORK,(212) 263-7300,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10016,86,8534,22,3,8534,22,86,8534,22,3,8534,22,86,8534,22,91,8534,22,3,8534,22,77,8534,22,3,8534,22,92,8534,22,4,8534,22,88,8534,22,72,8534,22,3,8534,22,74,8534,22,2,8534,22,89,8534,22,75,8534,22,4,8534,22,3,8534,22,1,1.3012475312766527,1.4760049593849962,2.066374468301945,1.0781950719204525,1.5675949282119046,1.4891924286638005,1.4964348979599587,36061006200,9.1362686,,1,91.5,-0.99244666,0.77921647,36061006200,-73.9740,40.7420
